73,Jacob Fuller
104,James
1025,Stillman
1033,Archy
1095,Archy
1545,Archy
2208,Archy
2504,Jacob Fuller
3012,Jacob Fuller
3280,Jacob Fuller
3857,Fuller
3923,Mamma
5009,David Wilson
5088,Wilson
5251,Jacob Fuller
5286,Denver Fuller
6092,James Walker
6416,Rawal - Pindi
6665,Sammy ” Hillyer
6771,James Walker
6836,Hillyer
6937,Flint Buckner
6961,Sammy
7030,Archy Stillman
7598,Buckner
7676,Sammy Hillyer
7688,Hillyer
7740,Fetlock Jones
7780,Buckner
7902,Buckner
7921,Pat Riley
8003,Riley
8134,Flint Buckner
9290,Buckner
9343,Buckner
9483,Buckner
9842,Flint Buckner
9868,Jake Parker
9913,Peter Hawes
9930,Wells - Fargo
9936,Ferguson
10013,Ham Sandwich
10040,Buckner
10044,Laura
10072,Pat Riley
10112,Ham Sandwich
10204,Archy Stillman
10216,Peterson
10225,Archy Stillman
10232,Wells - Fargo
10238,Ferguson
10253,Ferguson
10257,Peterson
10275,Billy Stevens
10303,Ferguson
10307,Ferguson
10670,Wells - Fargo
10853,Archy Stillman
10874,Hogan
10906,Ham Sandwich
10934,Hogan
11169,Hogan
11207,Archy
11334,Stillman
11427,Stillman
11643,Stillman
11767,Archy
11789,Archy Stillman
11803,Peterson
11813,Ferguson
11853,Ferguson
11914,Stillman
11976,Archy
11997,Pat Riley
12000,Ham Sandwich
12014,Archy
12058,Billy
12173,Hogan
12213,Billy
12238,Archy Stillman
12293,Billy
12401,Johnny
12479,SHERLOCK HOLMES
12523,Pat Riley
12534,Buckner
12540,Fetlock Jones
12553,Uncle Sherlock
12688,Buckner
12710,Sherlock
12881,Ferguson
12883,Jake Parker
12889,Ham Sandwich
12947,Holmes
13037,Ferguson
13094,Ham Sandwich
13132,Ferguson
13154,Wells - Fargo
13483,Holmes
13530,Ferguson
13580,Jake Parker
13607,George
13616,Ferguson
13642,Archy
13748,Hogan
13818,Hogan
13822,Ham
13829,Hogan
14366,Billy
14463,Jackson
14471,Ham Sandwich
14503,George
14536,Ferguson
14616,Flint Buckner
14627,Sherlock Holmes
14739,Holmes
14764,Uncle Sherlock
14816,George
14829,Sherlock Holmes
14841,Ferguson
15059,Fetlock
15084,Flint Buckner
15135,Flint Buckner
15202,Sherlock Holmes
15361,Archy Stillman
15390,Flint Buckner
15469,Fetlock Jones
15488,Ham Sandwich
15585,Sherlock Holmes
15861,Ferguson
15875,Ham Sandwich
15899,Jake Parker
15984,Wells - Fargo
16197,Archy
16254,Archy
16319,Hillyer
16382,Fetlock Jones
16388,Pat Riley
16422,Flint Buckner
16484,Pat
16587,Sherlock Holmes
16682,Flint Buckner
16725,Flint Buckner
16729,Holmes
16753,Fetlock Jones
16882,Sandy
16912,Jones
17063,George
17166,Buckner
17315,Mary Ann
17351,Wells - Fargo Ferguson
17388,Holmes
17688,Jackson
17696,Ham Sandwich
17866,Sammy Hillyer
17906,Hillyer
17941,Holmes
17990,Holmes
18011,Hillyer
18021,Archy
18050,Archy
18056,Stillman
18120,Archy
18131,Archy
18188,Stillman
18204,Tom Jeffries
18215,Harris
18431,Stillman
18703,Flint Buckner
18852,Flint Buckner
18953,Buckner
19154,Ham Sandwich
19205,Stillman
19354,Ferguson
19361,Archy
19380,Holmes
19579,Dern
19586,Archy
19590,Ferguson
19599,Ham Sandwich
19613,Stillman
19806,Stillman
19910,Stillman
19926,Fetlock Jones
20086,Stillman
20218,Stillman
20279,Stillman
20361,Stillman
20425,Archy
20549,Flint Buckner
20626,Fetlock Jones
20710,Fetlock Jones
21103,Fetlock Jones
21126,Harris
21171,Hillyer
21187,Buckner
21199,Hillyer
21337,Sherlock Holmes
21530,Wells - Fargo Ferguson
21548,Sherlock Holmes
21627,Ham Sandwich
21653,Ferguson
21697,Ham Sandwich
21716,James Walker
21785,Hillyer
22110,Holmes
22334,Sherlock Holmes
22666,Hillyer
22731,Wells - Fargo Ferguson
22787,Harris
22841,Sherlock Holmes
22889,Jack Fairfax
22995,Daly
22999,Holmes
23063,Daly
23066,Shadbelly Higgins
23852,Sherlock Holmes
23967,Holmes
23976,Harris
24114,Fetlock Jones
24157,James Walker
24204,Hillyer
24214,Walker
24278,Jacob Fuller
